"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig"
"Mybl2",23.6079192747345,0.117087588958867,0.173960958958671,0.673068196793993,0.500903905705272,0.696855363783406,FALSE
"Mybpc1",2698.39769612873,-0.000245039276293804,0.0953727621795689,-0.00256927943255373,0.997950013863771,0.999021496417246,FALSE
"Mybpc2",6.8311885452032,0.645405562156971,0.379437101529202,1.70095533503673,0.0889513746278599,0.241066502749519,FALSE
"Mybpc3",1703.65210859348,-0.18263286306473,0.0996763027381474,-1.83225960481813,0.0669127523394883,0.201825749169298,FALSE
"Mybph",19.2533768568392,0.258263795536222,0.269150531379238,0.959551497865422,0.33728098957589,0.557034482041573,FALSE
"Myc",74.3129309296864,0.29089201727648,0.158450483660188,1.83585439789711,0.0663791936417963,0.20085647948197,FALSE
"Mycbp",328.045152099849,-0.0676539125785101,0.0679352903975846,-0.995858149462117,0.319319071991883,0.538326628705292,FALSE
"Mycbp2",13257.0260439162,-0.0215134061985769,0.0880511385022612,-0.244328540942426,0.806976380691583,0.900976873281726,FALSE
"Mycbpap",116.826398094055,-0.522660328522997,0.206564217813302,-2.53025588872992,0.0113979366967876,0.0657813846555457,FALSE
"Mycl",270.539052755138,0.0642082737798721,0.101731392549129,0.631154967714259,0.527939203198029,0.716407821974099,FALSE
"Mycn",122.836236715269,-0.269754395522149,0.118793734679177,-2.27077965223223,0.0231603203279947,0.102513492635753,FALSE
"Myct1",18.9677300372952,0.0384595019882659,0.236371978705329,0.162707534957902,0.870748714015729,0.936443197154741,FALSE
"Myd88",189.103257888479,-0.0821093234704845,0.0879856581133783,-0.93321258522245,0.350710218036265,0.56966702767365,FALSE
"Mydgf",858.057319338146,-0.121487360789224,0.0711685565793719,-1.70703702067827,0.0878151716350608,0.239013831639353,FALSE
"Myef2",6205.21215954768,0.039338080517571,0.0622693482475607,0.63174068180667,0.527556340193499,0.716219419049379,FALSE
"Myeov2",1195.41665490607,-0.0267624324772756,0.0839104654959658,-0.318940340982405,0.749771752841868,0.866860617746407,FALSE
"Myg1",934.333002720023,-0.0591849960089056,0.0644308977452429,-0.918580961620628,0.358314793822113,0.576238131599065,FALSE
"Myh10",12281.051604958,-0.016837443859759,0.060990860814546,-0.276065030643794,0.782498118842002,0.885608596776222,FALSE
"Myh11",270.302670848403,-0.00297920583725926,0.113013680492272,-0.0263614619423264,0.978969032374302,0.991009827959655,FALSE
"Myh13",6.45416626739554,-1.11533312555608,0.38541956074357,-2.89381556920549,0.00380591637557664,0.0324531517971467,FALSE
"Myh14",4142.77527193692,0.0965592189029942,0.0492811087991627,1.95935564876403,0.0500711508581337,0.167829651643295,FALSE
"Myh15",28.1493314726388,-0.301456884426595,0.209540269008581,-1.43865847768979,0.150247309189,0.337552462403316,FALSE
"Myh3",17.8665811027524,0.727054412449464,0.281447468397437,2.58326861701516,0.00978690904065951,0.0594672897496068,FALSE
"Myh7",44.203907322691,0.328849358290079,0.388830915262726,0.845738714134604,0.397698521006826,0.612601434551362,FALSE
"Myh7b",385.494900139856,0.293950292619244,0.110417475451404,2.6621718293914,0.00776382342510786,0.0514588011385961,FALSE
"Myh9",4581.22494737807,-0.126131556999753,0.0700861682180381,-1.79966404508458,0.0719137016549732,0.210941930512953,FALSE
"Myl1",50.9660240847856,0.952386412480746,0.26405974635578,3.60670804855485,0.000310106235465608,0.00644009816214581,FALSE
"Myl12a",1207.00526976976,-0.00139275335956241,0.0670787584668537,-0.0207629567301939,0.983434747611323,0.992822770640624,FALSE
"Myl12b",5935.8381859754,0.0703733339717742,0.0377821674977176,1.86260711421666,0.062517562698659,0.19347685114414,FALSE
"Myl2",7.40049546114934,0.311344218025217,0.312102531486271,0.997570306599428,0.318487765658899,0.537677107279315,FALSE
"Myl4",27.4848217502265,0.269690956274952,0.175122428120074,1.54001380160191,0.12355698924888,0.298143251304182,FALSE
"Myl6",7085.82308982768,-0.0670069069789299,0.0543540855760832,-1.23278510288128,0.217655950740082,0.424503106069416,FALSE
"Myl6b",289.715542119685,-0.0384010305804462,0.111077996852821,-0.345712307283752,0.729558934078025,0.854518815832626,FALSE
"Myl9",454.188850847723,-0.238927040399636,0.0791254486956823,-3.01959792125228,0.00253110458074323,0.024723328025526,FALSE
"Mylip",767.389807458084,0.262856468862622,0.0756343439416261,3.47535861573008,0.000510170839268041,0.00904108591476643,FALSE
"Mylk",352.245569834503,0.0145456221159892,0.0842673129429726,0.172612862662808,0.862955740725895,0.932618872570289,FALSE
"Mylk4",9.70831982769636,0.219778625650971,0.328198589609198,0.669651341014819,0.503080077282888,0.698893614404606,FALSE
"Mylpf",20.432830202998,0.057142539008577,0.182530741281077,0.31305706977097,0.754237304212449,0.868961180057485,FALSE
"Mynn",1514.55357180873,-0.0307141322812751,0.0468287779435807,-0.655881567489963,0.51190032889019,0.704396827132466,FALSE
"Myo10",2008.29938109917,-0.0244369228377088,0.0726935580252111,-0.336163526749285,0.736747555456406,0.859195750488772,FALSE
"Myo15",229.504992555988,0.342997753862625,0.176838310794894,1.93961224986169,0.0524268310134463,0.172658300467039,FALSE
"Myo16",1261.29478900797,-0.0519294102480071,0.0624824000276819,-0.831104602656117,0.405914539835017,0.620124464456208,FALSE
